timestamp,open,high,low,close,volume,datetime
1758007200000,2.991,2.9912,2.9861,2.9887,472847.1416,2025-09-16 07:20:00+00:00
1758007500000,2.9887,2.994,2.9887,2.9929,635275.9313,2025-09-16 07:25:00+00:00
1758007800000,2.9929,2.9946,2.9892,2.9945,661769.5717,2025-09-16 07:30:00+00:00
1758008100000,2.9945,2.9955,2.9914,2.9927,155822.2669,2025-09-16 07:35:00+00:00
1758008400000,2.9927,2.9964,2.9909,2.9963,324435.7385,2025-09-16 07:40:00+00:00
1758008700000,2.9963,3.0132,2.9954,3.0112,4823047.5748,2025-09-16 07:45:00+00:00
1758009000000,3.0112,3.0132,3.0062,3.0098,723417.0,2025-09-16 07:50:00+00:00
1758009300000,3.0098,3.0098,3.0054,3.0068,319500.1777,2025-09-16 07:55:00+00:00
1758009600000,3.0068,3.0104,3.0029,3.0065,416388.5984,2025-09-16 08:00:00+00:00
1758009900000,3.0065,3.0137,3.0057,3.0137,330587.4022,2025-09-16 08:05:00+00:00
1758010200000,3.0137,3.0162,3.011,3.0157,591728.257,2025-09-16 08:10:00+00:00
1758010500000,3.0157,3.0231,3.0153,3.0231,1278080.0,2025-09-16 08:15:00+00:00
1758010800000,3.0231,3.0231,3.0155,3.0179,589416.0,2025-09-16 08:20:00+00:00
1758011100000,3.0179,3.0207,3.017,3.019,315951.5352,2025-09-16 08:25:00+00:00
1758011400000,3.019,3.0225,3.0163,3.0201,458657.2097,2025-09-16 08:30:00+00:00
1758011700000,3.0201,3.0302,3.0187,3.029,1136264.2292,2025-09-16 08:35:00+00:00
1758012000000,3.029,3.0297,3.0213,3.0213,417811.0,2025-09-16 08:40:00+00:00
1758012300000,3.0213,3.038,3.0188,3.0376,3219052.9804,2025-09-16 08:45:00+00:00
1758012600000,3.0376,3.0487,3.0322,3.0401,2930355.8632,2025-09-16 08:50:00+00:00
1758012900000,3.0401,3.0405,3.0296,3.0334,1146266.0,2025-09-16 08:55:00+00:00
1758013200000,3.0334,3.0341,3.027,3.0337,706192.0,2025-09-16 09:00:00+00:00
1758013500000,3.0337,3.0375,3.0313,3.0327,1189886.1242,2025-09-16 09:05:00+00:00
1758013800000,3.0327,3.0328,3.0305,3.0306,333792.7972,2025-09-16 09:10:00+00:00
1758014100000,3.0306,3.0364,3.0282,3.0351,614692.6786,2025-09-16 09:15:00+00:00
1758014400000,3.0351,3.0384,3.0335,3.0335,596868.4016,2025-09-16 09:20:00+00:00
1758014700000,3.0335,3.0335,3.0257,3.0271,583141.0,2025-09-16 09:25:00+00:00
1758015000000,3.0271,3.03,3.024,3.0284,471099.0,2025-09-16 09:30:00+00:00
1758015300000,3.0284,3.0322,3.0277,3.0291,319266.776,2025-09-16 09:35:00+00:00
1758015600000,3.0291,3.0294,3.0209,3.0215,587488.7215,2025-09-16 09:40:00+00:00
1758015900000,3.0215,3.0281,3.0203,3.0277,678662.7877,2025-09-16 09:45:00+00:00
1758016200000,3.0277,3.0277,3.0234,3.0235,195303.4002,2025-09-16 09:50:00+00:00
1758016500000,3.0235,3.0286,3.0226,3.0286,373997.5121,2025-09-16 09:55:00+00:00
1758016800000,3.0286,3.0317,3.0268,3.0292,470174.7551,2025-09-16 10:00:00+00:00
1758017100000,3.0292,3.0313,3.0233,3.0253,291994.7524,2025-09-16 10:05:00+00:00
1758017400000,3.0253,3.0285,3.0231,3.0277,399744.138,2025-09-16 10:10:00+00:00
1758017700000,3.0277,3.0329,3.0252,3.029,342037.8276,2025-09-16 10:15:00+00:00
1758018000000,3.029,3.033,3.029,3.0323,191075.6908,2025-09-16 10:20:00+00:00
1758018300000,3.0323,3.0336,3.0308,3.0318,227186.452,2025-09-16 10:25:00+00:00
1758018600000,3.0318,3.0342,3.0283,3.0283,248352.3214,2025-09-16 10:30:00+00:00
1758018900000,3.0283,3.0301,3.0252,3.0299,450202.3984,2025-09-16 10:35:00+00:00
1758019200000,3.0299,3.0339,3.0287,3.029,223861.4076,2025-09-16 10:40:00+00:00
1758019500000,3.029,3.035,3.0273,3.0274,603295.005,2025-09-16 10:45:00+00:00
1758019800000,3.0274,3.0277,3.0164,3.0183,4029687.1516,2025-09-16 10:50:00+00:00
1758020100000,3.0183,3.0226,3.018,3.0205,434370.7125,2025-09-16 10:55:00+00:00
1758020400000,3.0205,3.0259,3.0201,3.0222,537931.4256,2025-09-16 11:00:00+00:00
1758020700000,3.0222,3.0272,3.0203,3.0257,431069.162,2025-09-16 11:05:00+00:00
1758021000000,3.0257,3.029,3.0248,3.0258,547714.6504,2025-09-16 11:10:00+00:00
1758021300000,3.0258,3.0311,3.0238,3.0268,543800.7746,2025-09-16 11:15:00+00:00
1758021600000,3.0268,3.0322,3.0246,3.0288,241010.0,2025-09-16 11:20:00+00:00
1758021900000,3.0288,3.0317,3.027,3.0276,192412.2776,2025-09-16 11:25:00+00:00
1758022200000,3.0276,3.0329,3.027,3.0291,276947.9672,2025-09-16 11:30:00+00:00
1758022500000,3.0291,3.031,3.0276,3.0289,285132.5971,2025-09-16 11:35:00+00:00
1758022800000,3.0289,3.0303,3.0282,3.0293,178760.2826,2025-09-16 11:40:00+00:00
1758023100000,3.0293,3.0305,3.0269,3.027,543757.972,2025-09-16 11:45:00+00:00
1758023400000,3.027,3.0306,3.0264,3.0297,292664.5372,2025-09-16 11:50:00+00:00
1758023700000,3.0297,3.0299,3.0267,3.0279,188332.7339,2025-09-16 11:55:00+00:00
1758024000000,3.0279,3.0299,3.0237,3.0246,270006.5163,2025-09-16 12:00:00+00:00
1758024300000,3.0246,3.0283,3.0241,3.0279,320710.817,2025-09-16 12:05:00+00:00
1758024600000,3.0279,3.0299,3.0266,3.0285,203066.4297,2025-09-16 12:10:00+00:00
1758024900000,3.0285,3.0349,3.0273,3.0337,613755.4225,2025-09-16 12:15:00+00:00
1758025200000,3.0337,3.036,3.0286,3.0291,802947.7784,2025-09-16 12:20:00+00:00
1758025500000,3.0291,3.0325,3.029,3.0318,421905.2625,2025-09-16 12:25:00+00:00
1758025800000,3.0318,3.0356,3.0292,3.0301,477449.0,2025-09-16 12:30:00+00:00
1758026100000,3.0301,3.0336,3.0293,3.0336,375933.6772,2025-09-16 12:35:00+00:00
1758026400000,3.0336,3.0366,3.0336,3.0343,657886.6244,2025-09-16 12:40:00+00:00
1758026700000,3.0343,3.0353,3.0303,3.033,633072.8118,2025-09-16 12:45:00+00:00
1758027000000,3.033,3.036,3.0321,3.0355,534907.8454,2025-09-16 12:50:00+00:00
1758027300000,3.0355,3.0395,3.0353,3.037,882072.132,2025-09-16 12:55:00+00:00
1758027600000,3.037,3.0418,3.0353,3.0418,418253.6632,2025-09-16 13:00:00+00:00
1758027900000,3.0418,3.0428,3.0356,3.0371,568006.0,2025-09-16 13:05:00+00:00
1758028200000,3.0371,3.0389,3.035,3.035,586836.3862,2025-09-16 13:10:00+00:00
1758028500000,3.035,3.042,3.0335,3.0408,539066.4046,2025-09-16 13:15:00+00:00
1758028800000,3.0408,3.0464,3.0407,3.0463,830731.0,2025-09-16 13:20:00+00:00
1758029100000,3.0463,3.0466,3.0416,3.0438,496639.0,2025-09-16 13:25:00+00:00
1758029400000,3.0438,3.0453,3.0358,3.0371,1054676.0,2025-09-16 13:30:00+00:00
1758029700000,3.0371,3.0395,3.0289,3.029,1338506.0,2025-09-16 13:35:00+00:00
1758030000000,3.029,3.0305,3.0175,3.0197,1921468.0,2025-09-16 13:40:00+00:00
1758030300000,3.0197,3.0197,2.9989,3.0066,6044105.0,2025-09-16 13:45:00+00:00
1758030600000,3.0066,3.0177,3.002,3.0176,1692902.0,2025-09-16 13:50:00+00:00
1758030900000,3.0176,3.0251,3.0159,3.0236,2347767.0,2025-09-16 13:55:00+00:00
1758031200000,3.0236,3.0237,3.0134,3.0189,1261074.0,2025-09-16 14:00:00+00:00
1758031500000,3.0189,3.0204,3.0096,3.0123,703281.0,2025-09-16 14:05:00+00:00
1758031800000,3.0123,3.0134,3.0023,3.0107,2069443.0,2025-09-16 14:10:00+00:00
