ds,yhat,yhat_lower,yhat_upper
2024-09-04,121.28244798064802,96.91676719496068,143.79443557237428
2024-09-05,122.84999879045579,100.27896694091599,146.72491016419173
2024-09-06,123.87582534577297,101.03158856620946,147.73007367814782
2024-09-07,125.45244530561266,101.96407473255327,148.02791985437662
2024-09-08,127.17812244105707,103.942844034261,150.43263786453576
2024-09-09,128.33081765610711,103.93467101866547,151.9754450902149
2024-09-10,127.22942939978508,104.06926835995347,151.42321280507605
2024-09-11,129.17156497885736,105.19892455259456,152.98180454446617
2024-09-12,130.73911578866264,106.0773744409946,153.02593579063117
2024-09-13,131.76494234398197,109.30600662647217,157.5052739664882
2024-09-14,133.3415623038212,111.21738117033259,155.60830886323743
2024-09-15,135.0672394392629,110.28810220188561,158.35169064546048
2024-09-16,136.2199346543134,111.86358046916645,158.55986985080824
2024-09-17,135.11854639806631,111.0207197116885,156.90306061381617
2024-09-18,137.060681977211,113.53591685653166,161.11024804423798
2024-09-19,138.62823278709357,114.68668096102836,161.50907661554172
2024-09-20,139.6540593424887,115.44769694479673,164.17402036094538
2024-09-21,141.2306793024051,115.52969633345917,165.6987033072727
2024-09-22,142.95635643792215,118.94093723943455,165.50981962315566
2024-09-23,144.10905165305152,119.64248937730414,166.53886206342125
2024-09-24,143.0076633967979,119.38786649630217,167.22292123023362
2024-09-25,144.94979897594413,122.678591383653,169.53629474073284
2024-09-26,146.5173497858294,123.26126369198275,171.08698362769422
2024-09-27,147.54317634122057,125.69742672776744,172.80279770592435
2024-09-28,149.11979631074388,125.08745268327453,173.40169583933604
2024-09-29,150.8454734558691,126.40575339309328,173.9208138351258
2024-09-30,151.99816868060395,127.6878732381822,175.8518004328143
2024-10-01,150.89678043395847,126.92402795089474,175.86634092753837
2024-10-02,152.83891602271268,131.02851679152405,176.76383485143674
2024-10-03,154.40646684220303,131.03753696925378,176.96988085176855
2024-10-04,155.43229340720353,131.8932681499725,179.76079942234554
2024-10-05,157.00891337672516,135.38660582735812,181.30239793583127
2024-10-06,158.73459052185302,134.67196701639583,180.81548262740523
2024-10-07,159.88728574658575,137.36883983199868,184.0037966272978
2024-10-08,158.7858974999403,135.45795436702005,182.86395589516158
2024-10-09,160.72803308869123,138.5266393303823,185.2329171995845
2024-10-10,162.29558391954276,140.26807023324224,184.47763631721395
2024-10-11,163.3214104959009,139.70742593933753,185.85182355904638
2024-10-12,164.89803047677697,142.76250369744506,189.65597478833095
2024-10-13,166.623707633262,142.91892458203037,189.53497083598106
2024-10-14,167.77640286934977,144.07044277439917,190.83361126415886
2024-10-15,166.67501463406563,141.2347693006798,189.43840097657434
2024-10-16,168.6171502341705,143.9336980902042,191.32128915154826
2024-10-17,170.18470106502008,144.60441906819744,194.07209728307922
2024-10-18,171.21052764137636,148.21655329273523,193.97290473575677
2024-10-19,172.7871476222594,150.22575504317948,198.79205717022126
2024-10-20,174.5128247787388,150.73945546312223,200.31513628675205
2024-10-21,175.6655200148276,151.6983505658571,198.47093973674174
2024-10-22,174.56413180096723,151.4749225841168,198.5201909387025
2024-10-23,176.5062674224979,153.26787855516744,201.4303684638605
2024-10-24,178.0738182747694,152.76955149233083,199.49256425854665
2024-10-25,179.09964487254987,154.76360344262784,201.39732185765314
2024-10-26,180.6762648748534,155.21999126950777,202.0815711018663
2024-10-27,182.40194205275705,158.70646179692812,205.74694903512838
2024-10-28,183.5546373102675,158.928877845994,206.82440841445802
2024-10-29,182.4532490964082,157.81327946467795,205.08719878442164
2024-10-30,184.39538471793804,159.94964668276623,207.717444384116
2024-10-31,185.96293557021042,163.58033551836016,208.9690198111303
